url,price_per_month,m2,price_m2,bedrooms,bathrooms,encoded_neighborhood
https://www.habitaclia.com/alquiler-piso-con_3_habitaciones_con_ascensor_general_mitre_220_putget_farro-barcelona-i34440000000577.htm?pag=6&f=&geo=p&from=list&lo=55,1750,147,11.9,3,2,26
https://www.habitaclia.com/alquiler-piso-con_ascensor_y_parking_verdi_321_vallcarca_penitents-barcelona-i34440000000576.htm?pag=6&f=&geo=p&from=list&lo=55,1195,52,22.98,1,1,25
https://www.habitaclia.com/alquiler-piso-parking_y_trastero_incluidos_st_pere_sta_caterina_el_born-barcelona-i41661000000126.htm?pag=6&f=&geo=p&from=list&lo=55,1300,50,26.0,1,1,46
https://www.habitaclia.com/alquiler-piso-amplio_y_espacioso_en_sants_sants-barcelona-i5020004000146.htm?pag=6&f=&geo=p&from=list&lo=55,1400,82,17.07,3,2,17
https://www.habitaclia.com/alquiler-apartamento-con_4_habitaciones_amueblado_con_calefaccion_raval-barcelona-i30785000002038.htm?pag=6&f=&geo=p&from=list&lo=55,1700,80,21.25,4,1,37
https://www.habitaclia.com/alquiler-atico-con_3_habitaciones_con_ascensor_piscina_calefaccion_y_ai_sant_gervasi_galvany-barcelona-i4948003578364.htm?pag=6&f=&geo=p&from=list&lo=55,6500,247,26.32,3,2,49
https://www.habitaclia.com/alquiler-piso-general_mitre_sant_gervasi_galvany-barcelona-i5821002627222.htm?pag=6&f=&geo=p&from=list&lo=55,2350,148,15.88,4,2,49
https://www.habitaclia.com/alquiler-apartamento-amueblado_gotic-barcelona-i44432000000388.htm?pag=6&f=&geo=p&from=list&lo=55,995,37,26.89,1,1,42
https://www.habitaclia.com/alquiler-duplex-vila_de_gracia-barcelona-i21202000000466.htm?pag=6&f=&geo=p&from=list&lo=55,1950,60,32.5,1,1,44
https://www.habitaclia.com/alquiler-atico-de_2_dormitorios_y_terraza_en_sant_antoni_sant_antoni-barcelona-i31390000000331.htm?pag=7&f=&geo=p&from=list&lo=55,2875,134,21.46,2,2,33
https://www.habitaclia.com/alquiler-piso-encantador_apartamento_con_amplia_terraza_privada_en_sant_gervas_sant_gervasi_galvany-barcelona-i5714000000576.htm?pag=7&f=&geo=p&from=list&lo=55,1775,65,27.31,1,1,49
https://www.habitaclia.com/alquiler-loft-bonito_en_el_corazon_del_born_dels_ases_3_st_pere_sta_caterina_el_born-barcelona-i5299004351056.htm?pag=7&f=&geo=p&from=list&lo=55,1100,45,24.44,1,1,46
https://www.habitaclia.com/alquiler-piso-reformat_full_equiped_l_antiga_esquerra_de_l_eixample-barcelona-i2642004461174.htm?pag=7&f=&geo=p&from=list&lo=55,1800,65,27.69,1,1,40
https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_con_calefaccion_y_aire_acondicionado_la_nova_esquerra_de_l_eixample-barcelona-i3983004476543.htm?pag=7&f=&geo=p&from=list&lo=55,1500,82,18.29,2,1,35
https://www.habitaclia.com/alquiler-piso-born_st_pere_sta_caterina_el_born-barcelona-i33842000000142.htm?pag=7&f=&geo=p&from=list&lo=55,1800,105,17.14,2,1,46
https://www.habitaclia.com/alquiler-piso-gran_amplio_alto_y_luminoso_en_diagonal_francesc_macia_sant_gervasi_galvany-barcelona-i10344003630716.htm?pag=7&f=&geo=p&from=list&lo=55,4500,188,23.94,3,2,49
https://www.habitaclia.com/alquiler-piso-junto_plaza_rei_raval-barcelona-i29402000000048.htm?pag=7&f=&geo=p&from=list&lo=55,1200,65,18.46,2,1,37
