url,title,city,neighborhood,price_per_month,m2,price_m2,bedrooms,bathrooms,year_of_construction,air_conditioner
https://www.habitaclia.com/alquiler-piso-en_de_cuatro_habitaciones_sin_amueblar_horta_el_g_la_font_d_en_fargues-barcelona-i4737003818828.htm?pag=1&f=&geo=p&from=list&lo=55,"Alquiler piso  en alquiler de cuatro habitaciones sin amueblar, horta el guinardó en Barcelona",Barcelona,La Font d´en Fargues,1600,100,16,4,2,1970,True
https://www.habitaclia.com/alquiler-piso-en_en_calle_parlament_sant_antoni_sant_antoni-barcelona-i4737003818716.htm?pag=1&f=&geo=p&from=list&lo=55,Alquiler piso  en alquiler en calle parlament - Sant Antoni en Barcelona,Barcelona,Sant Antoni,1500,40,37.5,1,1,-1,True
https://www.habitaclia.com/alquiler-piso-tres_dormitorios_cerca_de_les_glories_fort_pienc-barcelona-i5020004000413.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso tres dormitorios cerca de les glòries en Barcelona,Barcelona,Fort Pienc,1375,70,19.64,3,1,-1,False
https://www.habitaclia.com/alquiler-piso-de_2_hab_en_la_pl_reial_gotic-barcelona-i39012000001471.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso  de 2 hab. en la pl. reial en Gòtic Barcelona,Barcelona,Gòtic,1550,90,17.22,2,2,-1,True
https://www.habitaclia.com/alquiler-piso-reformado_barri_de_les_corts-barcelona-i17052000000225.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso  reformado en Barri de les Corts Barcelona,Barcelona,Barri de les Corts,1500,90,16.67,1,1,-1,True
https://www.habitaclia.com/alquiler-duplex-de_luxe_a_l_av_diagonal_balmes_sant_gervasi_galvany-barcelona-i10125004018426.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler dúplex  de luxe a l'av. diagonal / balmes en Barcelona,Barcelona,Sant Gervasi - Galvany,3750,130,28.85,3,2,-1,True
https://www.habitaclia.com/alquiler-estudio-gotic-barcelona-i21202000000429.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler estudio en Gòtic Barcelona,Barcelona,Gòtic,1500,41,36.59,1,1,-1,True
https://www.habitaclia.com/alquiler-piso-dreta_de_l_eixample-barcelona-i17052000000212.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso en Dreta de l´Eixample Barcelona,Barcelona,Dreta de l´Eixample,2800,100,28,2,2,-1,True
https://www.habitaclia.com/alquiler-piso-a_estrenar_calle_de_sardenya_498_baix_guinardo-barcelona-i46516000000006.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso en carrer de sardenya 498 piso a estrenar en Barcelona,Barcelona,Baix Guinardó,1600,78,20.51,2,2,-1,True
https://www.habitaclia.com/alquiler-apartamento-con_4_habitaciones_amueblado_con_ascensor_calefacci_dreta_de_l_eixample-barcelona-i30785000002010.htm?pag=4&f=&geo=p&from=list&lo=55,"Alquiler apartamento  con 4 habitaciones amueblado con ascensor, calefacción y aire acondicionado en Barcelona",Barcelona,Dreta de l´Eixample,3700,170,21.76,4,2,-1,True
https://www.habitaclia.com/alquiler-piso-la_sagrera-barcelona-i14201000000278.htm?pag=4&f=&geo=p&from=list&lo=55,Alquiler piso en La Sagrera Barcelona,Barcelona,La Sagrera,1450,125,11.6,3,2,2000,True
